routes,canonical_bitstring,provider_bitstrings,counts,probability,one_hot,joint_feasible,assignment,weighted_cost,worst_case_regret,base_energy,transformed_energy,scenario_costs,scenario_regrets
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",100001100100,"[""1001100001""]",59,0.014404296875,True,False,"[0, 2, 0, 0]",0.43507204430562224,1.1117730597173898,0.43507204430562235,0.010218514267846255,"{""degradation"": 0.43841988639910123, ""nominal"": 0.4389652509652511, ""surge"": 0.4278309955525145}","{""degradation"": 1.1117730597173898, ""nominal"": 0.45849223644783443, ""surge"": 0.4459411087733319}"
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",100001010100,"[""1010100001""]",58,0.01416015625,True,False,"[0, 2, 1, 0]",0.27569142847059647,0.4377689412767168,0.27569142847059647,0.0021232278769071776,"{""degradation"": 0.29030179139878914, ""nominal"": 0.2544710424710425, ""surge"": 0.2823014515419578}","{""degradation"": 0.4377689412767168, ""nominal"": 0.05172296377008994, ""surge"": 0.13609725439270093}"
"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]",100100010100,"[""1010001001""]",58,0.01416015625,True,False,"[0, 0, 1, 0]",0.358941657383906,0.8183483632748703,0.35894165738390627,0.00635168716371321,"{""degradation"": 0.37393733225142, ""nominal"": 0.32979150579150585, ""surge"": 0.37309613410879217}","{""degradation"": 0.8183483632748703, ""nominal"": 0.21778806864614547, ""surge"": 0.3294062803711863}"
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",100010010010,"[""10010010001""]",56,0.013671875,True,False,"[0, 1, 1, 1]",0.33311879130612143,0.43230727322255513,0.3331187913061216,0.00504008791282995,"{""degradation"": 0.1940983708882093, ""nominal"": 0.42708880308880315, ""surge"": 0.3781691999413518}","{""degradation"": 3.7890115197442935e-16, ""nominal"": 0.43230727322255513, ""surge"": 0.34020723684895093}"
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1]",001010100001,"[""100001010100""]",55,0.013427734375,True,True,"[2, 1, 0, 2]",0.3705149274578924,0.4358352427509768,0.3705149274578926,0.0069395185962732465,"{""degradation"": 0.270885088321578, ""nominal"": 0.41757528957528967, ""surge"": 0.4230844044768096}","{""degradation"": 0.3494141873180432, ""nominal"": 0.4113320621084174, ""surge"": 0.4358352427509768}"
"[0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0]",001100001100,"[""1100001100""]",55,0.013427734375,True,False,"[2, 0, 2, 0]",0.35076109825564616,0.6574025420720016,0.35076109825564605,0.00593617886219036,"{""degradation"": 0.33856812933025404, ""nominal"": 0.3474285714285714, ""surge"": 0.366286594008113}","{""degradation"": 0.6574025420720016, ""nominal"": 0.2566739308090437, ""surge"": 0.31490823349212194}"
"[0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0]",001001010100,"[""1010100100""]",53,0.012939453125,True,True,"[2, 2, 1, 0]",0.31744626309674406,0.3664560107931553,0.31744626309674434,0.00424404628844379,"{""degradation"": 0.2746301728980714, ""nominal"": 0.3103629343629345, ""surge"": 0.3673456820292263}","{""degradation"": 0.3664560107931553, ""nominal"": 0.1749523290656499, ""surge"": 0.31716311525390567}"
"[0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0]",001100010100,"[""1010001100""]",53,0.012939453125,True,False,"[2, 0, 1, 0]",0.30545637824887684,0.3923524817155436,0.305456378248877,0.003635054089929919,"{""degradation"": 0.2803211410024343, ""nominal"": 0.2999691119691119, ""surge"": 0.3360788817750844}","{""degradation"": 0.3923524817155436, ""nominal"": 0.152036229910106, ""surge"": 0.2505936363844476}"
"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",010100100001,"[""100001001010""]",53,0.012939453125,True,False,"[1, 0, 0, 2]",0.24440051730626766,0.36397784562948254,0.24440051730626755,0.0005338947827818896,"{""degradation"": 0.2740855751825729, ""nominal"": 0.23825482625482636, ""surge"": 0.2208611504814037}","{""degradation"": 0.36397784562948254, ""nominal"": 0.015969763007355118, ""surge"": 0.005286017235745985}"
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0]",100010100010,"[""10001010001""]",53,0.012939453125,True,False,"[0, 1, 0, 1]",0.27606894386921865,0.21212809770645472,0.27606894386921865,0.0021424027009773737,"{""degradation"": 0.24071531115411027, ""nominal"": 0.2927258687258687, ""surge"": 0.294765651727677}","{""degradation"": 0.21212809770645472, ""nominal"": 0.13606646690275115, ""surge"": 0.16263451769254927}"
"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]",100100001001,"[""100100001001""]",53,0.012939453125,True,False,"[0, 0, 2, 2]",0.34709835775746256,0.6574025420720016,0.34709835775746284,0.005750140345817858,"{""degradation"": 0.33856812933025404, ""nominal"": 0.3474285714285714, ""surge"": 0.35529837251356233}","{""degradation"": 0.6574025420720016, ""nominal"": 0.2566739308090437, ""surge"": 0.29151344500565013}"
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",100001010001,"[""100010100001""]",52,0.0126953125,True,True,"[0, 2, 1, 2]",0.2580413478557134,0.33808137470709426,0.25804134785571353,0.0012267420862603624,"{""degradation"": 0.26839460707821, ""nominal"": 0.24864864864864877, ""surge"": 0.2570807878402816}","{""degradation"": 0.33808137470709426, ""nominal"": 0.03888586216289861, ""surge"": 0.08240047615777317}"
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",100010001001,"[""100100010001""]",52,0.0126953125,True,True,"[0, 1, 2, 2]",0.2873203324644843,0.3664560107931553,0.28732033246448424,0.002713885076655357,"{""degradation"": 0.2746301728980714, ""nominal"": 0.3103629343629345, ""surge"": 0.2769678901324471}","{""degradation"": 0.3664560107931553, ""nominal"": 0.1749523290656499, ""surge"": 0.12474168232701298}"
"[0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",010010100001,"[""100001010010""]",51,0.012451171875,True,True,"[1, 1, 0, 2]",0.32227501092128213,0.3721314511782198,0.3222750109212823,0.004489308840256997,"{""degradation"": 0.22504369265339247, ""nominal"": 0.3486177606177606, ""surge"": 0.3931635794926933}","{""degradation"": 0.14081516722289306, ""nominal"": 0.259295832198311, ""surge"": 0.3721314511782198}"
