routes,canonical_bitstring,provider_bitstrings,counts,probability,one_hot,joint_feasible,assignment,current_objective,base_energy,transformed_energy,scenario_costs,scenario_regrets
"[1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1]",100111111101,"[""101111111001""]",4,0.0009765625,False,False,,,15.13882486476392,0.5805490309303298,{},{}
"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",101000010000,"[""000010000101""]",4,0.0009765625,False,False,,,2.369480908262503,0.08846417041511366,{},{}
"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",101000010010,"[""010010000101""]",4,0.0009765625,False,False,,,2.218341672798919,0.08263980466423204,{},{}
"[1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",101000011110,"[""011110000101""]",4,0.0009765625,False,False,,,6.082216606663887,0.23153972970001452,{},{}
"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",101000100100,"[""001001000101""]",4,0.0009765625,False,False,,,2.6321389360644396,0.09858607169793651,{},{}
"[1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0]",101001100010,"[""010001100101""]",4,0.0009765625,False,False,,,2.2313238946181118,0.08314009307645094,{},{}
"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1]",101010111111,"[""111111010101""]",4,0.0009765625,False,False,,,14.595033088743365,0.559593240157997,{},{}
"[1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1]",101011110011,"[""110011110101""]",4,0.0009765625,False,False,,,8.460754318916404,0.32320006889606534,{},{}
"[1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0]",101100110010,"[""010011001101""]",4,0.0009765625,False,False,,,4.4336252454046186,0.16800891301786092,{},{}
"[1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0]",101101011110,"[""011110101101""]",4,0.0009765625,False,False,,,8.764288937425155,0.3348972078343872,{},{}
"[1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1]",101110010101,"[""101010011101""]",4,0.0009765625,False,False,,,6.635199651227193,0.2528497190994832,{},{}
"[1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1]",101111010111,"[""111010111101""]",4,0.0009765625,False,False,,,14.887314085747102,0.5708567047597634,{},{}
"[1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1]",101111011001,"[""100110111101""]",4,0.0009765625,False,False,,,10.75923903696318,0.4117754519172532,{},{}
"[1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1]",101111100001,"[""100001111101""]",4,0.0009765625,False,False,,,8.891869985270294,0.3398137252645012,{},{}
"[1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1]",110000011001,"[""100110000011""]",4,0.0009765625,False,False,,,4.090161031550055,0.15477303023936162,{},{}
"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",110001000001,"[""100000100011""]",4,0.0009765625,False,False,,,2.3129472749265485,0.0862855663169464,{},{}
"[1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0]",110001011000,"[""000110100011""]",4,0.0009765625,False,False,,,4.515962676737595,0.17118190323182098,{},{}
"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0]",110101111000,"[""000111101011""]",4,0.0009765625,False,False,,,10.772513286766653,0.41228699404386815,{},{}
"[1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",111000010101,"[""101010000111""]",4,0.0009765625,False,False,,,8.325824426556274,0.3180003532734344,{},{}
"[1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",111010000000,"[""000000010111""]",4,0.0009765625,False,False,,,6.496652561370093,0.24751060961826282,{},{}
"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0]",111011111110,"[""011111110111""]",4,0.0009765625,False,False,,,17.152932689494353,0.6581655452454966,{},{}
"[1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0]",111100000100,"[""001000001111""]",4,0.0009765625,False,False,,,6.696392053899526,0.25520785551089015,{},{}
"[1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0]",111100000110,"[""011000001111""]",4,0.0009765625,False,False,,,8.523236040630948,0.32560789105352217,{},{}
"[1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0]",111110011000,"[""000110011111""]",4,0.0009765625,False,False,,,10.609861749561823,0.40601898534501296,{},{}
"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0]",111111101100,"[""001101111111""]",4,0.0009765625,False,False,,,15.513991644060377,0.5950066172314683,{},{}
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",000000010010,"[""010010000000""]",3,0.000732421875,False,False,,,0.45158426161226817,0.014555290909289953,{},{}
