run_id,run_family,S,eta,T,rho,iteration,assignment,all_tied_optima,tie_count,objective_value,weights,regrets,clipped_regrets,pre_mixing_weights,next_weights,weight_entropy,effective_environments,effective_fraction
B4-focused-s3-eta1-t5-rho0,B4-focused,3,1.0,5,0.0,3,"[0,1,1,2]","[[0,1,1,2],[1,0,1,2]]",2,0.2496213110793889,"[0.2694172118698043,0.24572125934743616,0.4848615287827595]","[0.12322936529555982,0.10893773945762117,0.11244053113683199]","[0.12322936529555982,0.10893773945762117,0.11244053113683199]","[0.27177890374400876,0.24435788827091806,0.48386320798507315]","[0.27177890374400876,0.24435788827091806,0.48386320798507315]",1.049210353135525,2.855395473516551,0.9517984911721836
B4-focused-s3-eta1-t5-rho0,B4-focused,3,1.0,5,0.0,4,"[0,1,1,2]","[[0,1,1,2],[1,0,1,2]]",2,0.24971295814053368,"[0.27177890374400876,0.24435788827091806,0.48386320798507315]","[0.12322936529555982,0.10893773945762117,0.11244053113683199]","[0.12322936529555982,0.10893773945762117,0.11244053113683199]",,,1.0496563132403622,2.8566691499646044,0.9522230499882015
B4-focused-s5-eta0-t3-rho0,B4-focused,5,0.0,3,0.0,0,"[1,0,2,2]","[[1,0,2,2]]",1,0.25322744030904637,"[0.2,0.2,0.2,0.2,0.2]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.2,0.2,0.2,0.2,0.2]","[0.2,0.2,0.2,0.2,0.2]",1.6094379124341005,5.000000000000001,1.0000000000000002
B4-focused-s5-eta0-t3-rho0,B4-focused,5,0.0,3,0.0,1,"[1,0,2,2]","[[1,0,2,2]]",1,0.25322744030904637,"[0.2,0.2,0.2,0.2,0.2]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.2,0.2,0.2,0.2,0.2]","[0.2,0.2,0.2,0.2,0.2]",1.6094379124341005,5.000000000000001,1.0000000000000002
B4-focused-s5-eta0-t3-rho0,B4-focused,5,0.0,3,0.0,2,"[1,0,2,2]","[[1,0,2,2]]",1,0.25322744030904637,"[0.2,0.2,0.2,0.2,0.2]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]",,,1.6094379124341005,5.000000000000001,1.0000000000000002
B4-focused-s5-eta0-t5-rho0,B4-focused,5,0.0,5,0.0,0,"[1,0,2,2]","[[1,0,2,2]]",1,0.25322744030904637,"[0.2,0.2,0.2,0.2,0.2]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.2,0.2,0.2,0.2,0.2]","[0.2,0.2,0.2,0.2,0.2]",1.6094379124341005,5.000000000000001,1.0000000000000002
B4-focused-s5-eta0-t5-rho0,B4-focused,5,0.0,5,0.0,1,"[1,0,2,2]","[[1,0,2,2]]",1,0.25322744030904637,"[0.2,0.2,0.2,0.2,0.2]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.2,0.2,0.2,0.2,0.2]","[0.2,0.2,0.2,0.2,0.2]",1.6094379124341005,5.000000000000001,1.0000000000000002
B4-focused-s5-eta0-t5-rho0,B4-focused,5,0.0,5,0.0,2,"[1,0,2,2]","[[1,0,2,2]]",1,0.25322744030904637,"[0.2,0.2,0.2,0.2,0.2]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.2,0.2,0.2,0.2,0.2]","[0.2,0.2,0.2,0.2,0.2]",1.6094379124341005,5.000000000000001,1.0000000000000002
B4-focused-s5-eta0-t5-rho0,B4-focused,5,0.0,5,0.0,3,"[1,0,2,2]","[[1,0,2,2]]",1,0.25322744030904637,"[0.2,0.2,0.2,0.2,0.2]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.2,0.2,0.2,0.2,0.2]","[0.2,0.2,0.2,0.2,0.2]",1.6094379124341005,5.000000000000001,1.0000000000000002
B4-focused-s5-eta0-t5-rho0,B4-focused,5,0.0,5,0.0,4,"[1,0,2,2]","[[1,0,2,2]]",1,0.25322744030904637,"[0.2,0.2,0.2,0.2,0.2]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]",,,1.6094379124341005,5.000000000000001,1.0000000000000002
B4-focused-s5-eta0p25-t3-rho0,B4-focused,5,0.25,3,0.0,0,"[1,0,2,2]","[[1,0,2,2]]",1,0.25322744030904637,"[0.2,0.2,0.2,0.2,0.2]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.19538634914325512,0.19349611031543812,0.21056149626122905,0.19917825140979817,0.20137779287027957]","[0.19538634914325512,0.19349611031543812,0.21056149626122905,0.19917825140979817,0.20137779287027957]",1.6094379124341005,5.000000000000001,1.0000000000000002
B4-focused-s5-eta0p25-t3-rho0,B4-focused,5,0.25,3,0.0,1,"[1,0,2,2]","[[1,0,2,2]]",1,0.2536054002573575,"[0.19538634914325512,0.19349611031543812,0.21056149626122905,0.19917825140979817,0.20137779287027957]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.19070967670630076,0.18703753587621874,0.22148392437715467,0.1981837877821068,0.20258507525821903]","[0.19070967670630076,0.18703753587621874,0.22148392437715467,0.1981837877821068,0.20258507525821903]",1.6089968618544686,4.9977952333443865,0.9995590466688773
B4-focused-s5-eta0p25-t3-rho0,B4-focused,5,0.25,3,0.0,2,"[1,0,2,2]","[[1,0,2,2]]",1,0.253983343608563,"[0.19070967670630076,0.18703753587621874,0.22148392437715467,0.1981837877821068,0.20258507525821903]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]",,,1.6076496987450657,4.991066921062296,0.9982133842124592
B4-focused-s5-eta0p25-t5-rho0,B4-focused,5,0.25,5,0.0,0,"[1,0,2,2]","[[1,0,2,2]]",1,0.25322744030904637,"[0.2,0.2,0.2,0.2,0.2]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.19538634914325512,0.19349611031543812,0.21056149626122905,0.19917825140979817,0.20137779287027957]","[0.19538634914325512,0.19349611031543812,0.21056149626122905,0.19917825140979817,0.20137779287027957]",1.6094379124341005,5.000000000000001,1.0000000000000002
B4-focused-s5-eta0p25-t5-rho0,B4-focused,5,0.25,5,0.0,1,"[1,0,2,2]","[[1,0,2,2]]",1,0.2536054002573575,"[0.19538634914325512,0.19349611031543812,0.21056149626122905,0.19917825140979817,0.20137779287027957]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.19070967670630076,0.18703753587621874,0.22148392437715467,0.1981837877821068,0.20258507525821903]","[0.19070967670630076,0.18703753587621874,0.22148392437715467,0.1981837877821068,0.20258507525821903]",1.6089968618544686,4.9977952333443865,0.9995590466688773
B4-focused-s5-eta0p25-t5-rho0,B4-focused,5,0.25,5,0.0,2,"[1,0,2,2]","[[1,0,2,2]]",1,0.253983343608563,"[0.19070967670630076,0.18703753587621874,0.22148392437715467,0.1981837877821068,0.20258507525821903]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.18597639324976528,0.18063083286513368,0.23276197899586842,0.19701573486680607,0.20361506002242646]","[0.18597639324976528,0.18063083286513368,0.23276197899586842,0.19701573486680607,0.20361506002242646]",1.6076496987450657,4.991066921062296,0.9982133842124592
B4-focused-s5-eta0p25-t5-rho0,B4-focused,5,0.25,5,0.0,3,"[1,0,2,2]","[[1,0,2,2]]",1,0.2543609379300528,"[0.18597639324976528,0.18063083286513368,0.23276197899586842,0.19701573486680607,0.20361506002242646]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.18119328481651747,0.17428266127566175,0.24438866466274967,0.19567389394682297,0.2044614952982481]","[0.18119328481651747,0.17428266127566175,0.24438866466274967,0.19567389394682297,0.2044614952982481]",1.6053619634202152,4.979661731959596,0.9959323463919192
B4-focused-s5-eta0p25-t5-rho0,B4-focused,5,0.25,5,0.0,4,"[1,0,2,2]","[[1,0,2,2]]",1,0.2547378368492875,"[0.18119328481651747,0.17428266127566175,0.24438866466274967,0.19567389394682297,0.2044614952982481]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]","[0.03888586216289861,0.0,0.33808137470709426,0.11577099592593551,0.1597011994567267]",,,1.6021015873033633,4.963452600070614,0.9926905200141227
