S,eta,T,rho,baseline_run_id,mixed_run_id,baseline_assignment,mixed_assignment,route_changed,validation_survival_delta,validation_worst_regret_improvement,final_survival_delta,final_worst_regret_improvement,effective_fraction_increase
8,0.5,5,0.1,B4-focused-s8-eta0p5-t5-rho0,B5-diversity-s8-eta0p5-t5-rho0p1,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.008880619333666462
8,0.5,5,0.25,B4-focused-s8-eta0p5-t5-rho0,B5-diversity-s8-eta0p5-t5-rho0p25,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.01648595145579701
8,0.5,5,0.5,B4-focused-s8-eta0p5-t5-rho0,B5-diversity-s8-eta0p5-t5-rho0p5,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.02124108177623707
8,1.0,3,0.1,B4-focused-s8-eta1-t3-rho0,B5-diversity-s8-eta1-t3-rho0p1,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.0058827260636601375
8,1.0,3,0.25,B4-focused-s8-eta1-t3-rho0,B5-diversity-s8-eta1-t3-rho0p25,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.01258508468008479
8,1.0,3,0.5,B4-focused-s8-eta1-t3-rho0,B5-diversity-s8-eta1-t3-rho0p5,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.01921090708500539
8,1.0,5,0.1,B4-focused-s8-eta1-t5-rho0,B5-diversity-s8-eta1-t5-rho0p1,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.037737800323715986
8,1.0,5,0.25,B4-focused-s8-eta1-t5-rho0,B5-diversity-s8-eta1-t5-rho0p25,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.07177214491725736
8,1.0,5,0.5,B4-focused-s8-eta1-t5-rho0,B5-diversity-s8-eta1-t5-rho0p5,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.09396161999740338
12,0.25,3,0.1,B4-focused-s12-eta0p25-t3-rho0,B5-diversity-s12-eta0p25-t3-rho0p1,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.0002511426164616415
12,0.25,3,0.25,B4-focused-s12-eta0p25-t3-rho0,B5-diversity-s12-eta0p25-t3-rho0p25,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.0005326702449311993
12,0.25,3,0.5,B4-focused-s12-eta0p25-t3-rho0,B5-diversity-s12-eta0p25-t3-rho0p5,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.000805631214755631
12,0.25,5,0.1,B4-focused-s12-eta0p25-t5-rho0,B5-diversity-s12-eta0p25-t5-rho0p1,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.0015680692753051728
12,0.25,5,0.25,B4-focused-s12-eta0p25-t5-rho0,B5-diversity-s12-eta0p25-t5-rho0p25,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.002891029509800802
12,0.25,5,0.5,B4-focused-s12-eta0p25-t5-rho0,B5-diversity-s12-eta0p25-t5-rho0p5,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.0037107210089347697
12,0.5,3,0.1,B4-focused-s12-eta0p5-t3-rho0,B5-diversity-s12-eta0p5-t3-rho0p1,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.0010445167117643095
