S,T,eta,inner_solver,objective,rho,run_family,run_id,weight_signal,final_assignment,trajectory_distinct_routes,final_weight_entropy,final_effective_environments,final_effective_fraction,final_maximum_weight,minimum_effective_environments,all_exact_best_response_checks_pass,training_scenario_count,training_mean_cost,training_median_cost,training_mean_regret,training_median_regret,training_worst_regret,training_survival_rate,training_violating_scenarios,training_mean_overflow,training_maximum_overflow,training_mean_maximum_utilization,training_worst_maximum_utilization,training_mean_weighted_latency,training_maximum_weighted_latency,training_nominal_cost,training_nominal_feasible,validation_scenario_count,validation_mean_cost,validation_median_cost,validation_mean_regret,validation_median_regret,validation_worst_regret,validation_survival_rate,validation_violating_scenarios,validation_mean_overflow,validation_maximum_overflow,validation_mean_maximum_utilization,validation_worst_maximum_utilization,validation_mean_weighted_latency,validation_maximum_weighted_latency,validation_nominal_cost,validation_nominal_feasible,final_scenario_count,final_mean_cost,final_median_cost,final_mean_regret,final_median_regret,final_worst_regret,final_survival_rate,final_violating_scenarios,final_mean_overflow,final_maximum_overflow,final_mean_maximum_utilization,final_worst_maximum_utilization,final_mean_weighted_latency,final_maximum_weighted_latency,final_nominal_cost,final_nominal_feasible,selected_adaptive_on_validation,selected_static_on_validation,original_s3_static_control
8,5,1.0,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.25,B5-diversity,B5-diversity-s8-eta1-t5-rho0p25,"per-scenario normalized regret clipped to [0,1]","[0,2,1,2]",1,2.0512062650340654,7.777276907513094,0.9721596134391367,0.20411510736238042,7.777276907513094,True,8,0.2496935193104875,0.24864864864864877,0.10863800588673318,0.07563058460678163,0.33808137470709426,1.0,0,0.0,0.0,0.5291327913279132,1.0,35.840500000000006,41.2,0.24864864864864877,True,16,0.24828569918984775,0.24864864864864877,0.06223626866373329,0.055015141933679124,0.1588192674881542,1.0,0,0.0,0.0,0.4438790650406504,0.5333333333333333,35.506375,38.17999999999999,0.24864864864864877,True,24,0.25145614356221996,0.24864864864864877,0.08023960448589561,0.06514388490416781,0.3163114558213304,1.0,0,0.0,0.0,0.47244708994709,0.6190476190476192,36.16916666666667,43.160000000000004,0.24864864864864877,True,False,False,False
8,5,1.0,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.5,B5-diversity,B5-diversity-s8-eta1-t5-rho0p5,"per-scenario normalized regret clipped to [0,1]","[0,2,1,2]",1,2.073774603392944,7.9547927081542635,0.9943490885192829,0.1588886141371565,7.9547927081542635,True,8,0.2496935193104875,0.24864864864864877,0.10863800588673318,0.07563058460678163,0.33808137470709426,1.0,0,0.0,0.0,0.5291327913279132,1.0,35.840500000000006,41.2,0.24864864864864877,True,16,0.24828569918984775,0.24864864864864877,0.06223626866373329,0.055015141933679124,0.1588192674881542,1.0,0,0.0,0.0,0.4438790650406504,0.5333333333333333,35.506375,38.17999999999999,0.24864864864864877,True,24,0.25145614356221996,0.24864864864864877,0.08023960448589561,0.06514388490416781,0.3163114558213304,1.0,0,0.0,0.0,0.47244708994709,0.6190476190476192,36.16916666666667,43.160000000000004,0.24864864864864877,True,False,False,False
12,3,0.25,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.1,B5-diversity,B5-diversity-s12-eta0p25-t3-rho0p1,"per-scenario normalized regret clipped to [0,1]","[0,2,1,2]",1,2.484219529095575,11.991757383851255,0.9993131153209379,0.09216307372388258,11.991757383851255,True,12,0.2511384694918517,0.24864864864864877,0.10230241407404043,0.06739699211690964,0.33808137470709426,1.0,0,0.0,0.0,0.5138708951174423,1.0,35.74913333333333,41.2,0.24864864864864877,True,16,0.24828569918984775,0.24864864864864877,0.06223626866373329,0.055015141933679124,0.1588192674881542,1.0,0,0.0,0.0,0.4438790650406504,0.5333333333333333,35.506375,38.17999999999999,0.24864864864864877,True,24,0.25145614356221996,0.24864864864864877,0.08023960448589561,0.06514388490416781,0.3163114558213304,1.0,0,0.0,0.0,0.47244708994709,0.6190476190476192,36.16916666666667,43.160000000000004,0.24864864864864877,True,False,False,False
12,3,0.25,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.25,B5-diversity,B5-diversity-s12-eta0p25-t3-rho0p25,"per-scenario normalized regret clipped to [0,1]","[0,2,1,2]",1,2.48450121055803,11.995135715392891,0.9995946429494076,0.09009526625926655,11.995135715392891,True,12,0.2511384694918517,0.24864864864864877,0.10230241407404043,0.06739699211690964,0.33808137470709426,1.0,0,0.0,0.0,0.5138708951174423,1.0,35.74913333333333,41.2,0.24864864864864877,True,16,0.24828569918984775,0.24864864864864877,0.06223626866373329,0.055015141933679124,0.1588192674881542,1.0,0,0.0,0.0,0.4438790650406504,0.5333333333333333,35.506375,38.17999999999999,0.24864864864864877,True,24,0.25145614356221996,0.24864864864864877,0.08023960448589561,0.06514388490416781,0.3163114558213304,1.0,0,0.0,0.0,0.47244708994709,0.6190476190476192,36.16916666666667,43.160000000000004,0.24864864864864877,True,False,False,False
12,3,0.25,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.5,B5-diversity,B5-diversity-s12-eta0p25-t3-rho0p5,"per-scenario normalized regret clipped to [0,1]","[0,2,1,2]",1,2.4847742449420975,11.998411247030784,0.999867603919232,0.08717873897204936,11.998411247030784,True,12,0.2511384694918517,0.24864864864864877,0.10230241407404043,0.06739699211690964,0.33808137470709426,1.0,0,0.0,0.0,0.5138708951174423,1.0,35.74913333333333,41.2,0.24864864864864877,True,16,0.24828569918984775,0.24864864864864877,0.06223626866373329,0.055015141933679124,0.1588192674881542,1.0,0,0.0,0.0,0.4438790650406504,0.5333333333333333,35.506375,38.17999999999999,0.24864864864864877,True,24,0.25145614356221996,0.24864864864864877,0.08023960448589561,0.06514388490416781,0.3163114558213304,1.0,0,0.0,0.0,0.47244708994709,0.6190476190476192,36.16916666666667,43.160000000000004,0.24864864864864877,True,False,False,False
12,5,0.25,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.1,B5-diversity,B5-diversity-s12-eta0p25-t5-rho0p1,"per-scenario normalized regret clipped to [0,1]","[0,2,1,2]",1,2.482548733531801,11.971738337336545,0.9976448614447121,0.10006643574919252,11.971738337336545,True,12,0.2511384694918517,0.24864864864864877,0.10230241407404043,0.06739699211690964,0.33808137470709426,1.0,0,0.0,0.0,0.5138708951174423,1.0,35.74913333333333,41.2,0.24864864864864877,True,16,0.24828569918984775,0.24864864864864877,0.06223626866373329,0.055015141933679124,0.1588192674881542,1.0,0,0.0,0.0,0.4438790650406504,0.5333333333333333,35.506375,38.17999999999999,0.24864864864864877,True,24,0.25145614356221996,0.24864864864864877,0.08023960448589561,0.06514388490416781,0.3163114558213304,1.0,0,0.0,0.0,0.47244708994709,0.6190476190476192,36.16916666666667,43.160000000000004,0.24864864864864877,True,False,False,False
12,5,0.25,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.25,B5-diversity,B5-diversity-s12-eta0p25-t5-rho0p25,"per-scenario normalized regret clipped to [0,1]","[0,2,1,2]",1,2.4838739384043227,11.987613860150491,0.9989678216792076,0.09430085686969546,11.987613860150491,True,12,0.2511384694918517,0.24864864864864877,0.10230241407404043,0.06739699211690964,0.33808137470709426,1.0,0,0.0,0.0,0.5138708951174423,1.0,35.74913333333333,41.2,0.24864864864864877,True,16,0.24828569918984775,0.24864864864864877,0.06223626866373329,0.055015141933679124,0.1588192674881542,1.0,0,0.0,0.0,0.4438790650406504,0.5333333333333333,35.506375,38.17999999999999,0.24864864864864877,True,24,0.25145614356221996,0.24864864864864877,0.08023960448589561,0.06514388490416781,0.3163114558213304,1.0,0,0.0,0.0,0.47244708994709,0.6190476190476192,36.16916666666667,43.160000000000004,0.24864864864864877,True,False,False,False
12,5,0.25,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.5,B5-diversity,B5-diversity-s12-eta0p25-t5-rho0p5,"per-scenario normalized regret clipped to [0,1]","[0,2,1,2]",1,2.484694140387819,11.9974501581401,0.9997875131783417,0.08824251518813922,11.9974501581401,True,12,0.2511384694918517,0.24864864864864877,0.10230241407404043,0.06739699211690964,0.33808137470709426,1.0,0,0.0,0.0,0.5138708951174423,1.0,35.74913333333333,41.2,0.24864864864864877,True,16,0.24828569918984775,0.24864864864864877,0.06223626866373329,0.055015141933679124,0.1588192674881542,1.0,0,0.0,0.0,0.4438790650406504,0.5333333333333333,35.506375,38.17999999999999,0.24864864864864877,True,24,0.25145614356221996,0.24864864864864877,0.08023960448589561,0.06514388490416781,0.3163114558213304,1.0,0,0.0,0.0,0.47244708994709,0.6190476190476192,36.16916666666667,43.160000000000004,0.24864864864864877,True,False,False,False
12,3,0.5,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.1,B5-diversity,B5-diversity-s12-eta0p5-t3-rho0p1,"per-scenario normalized regret clipped to [0,1]","[0,2,1,2]",1,2.482023807268913,11.96545570657406,0.9971213088811717,0.10189339111298508,11.96545570657406,True,12,0.2511384694918517,0.24864864864864877,0.10230241407404043,0.06739699211690964,0.33808137470709426,1.0,0,0.0,0.0,0.5138708951174423,1.0,35.74913333333333,41.2,0.24864864864864877,True,16,0.24828569918984775,0.24864864864864877,0.06223626866373329,0.055015141933679124,0.1588192674881542,1.0,0,0.0,0.0,0.4438790650406504,0.5333333333333333,35.506375,38.17999999999999,0.24864864864864877,True,24,0.25145614356221996,0.24864864864864877,0.08023960448589561,0.06514388490416781,0.3163114558213304,1.0,0,0.0,0.0,0.47244708994709,0.6190476190476192,36.16916666666667,43.160000000000004,0.24864864864864877,True,False,False,False
12,3,0.5,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.25,B5-diversity,B5-diversity-s12-eta0p5-t3-rho0p25,"per-scenario normalized regret clipped to [0,1]","[0,2,1,2]",1,2.4832025548211147,11.979568274142347,0.9982973561785289,0.09751670085408846,11.979568274142347,True,12,0.2511384694918517,0.24864864864864877,0.10230241407404043,0.06739699211690964,0.33808137470709426,1.0,0,0.0,0.0,0.5138708951174423,1.0,35.74913333333333,41.2,0.24864864864864877,True,16,0.24828569918984775,0.24864864864864877,0.06223626866373329,0.055015141933679124,0.1588192674881542,1.0,0,0.0,0.0,0.4438790650406504,0.5333333333333333,35.506375,38.17999999999999,0.24864864864864877,True,24,0.25145614356221996,0.24864864864864877,0.08023960448589561,0.06514388490416781,0.3163114558213304,1.0,0,0.0,0.0,0.47244708994709,0.6190476190476192,36.16916666666667,43.160000000000004,0.24864864864864877,True,False,False,False
12,3,0.5,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.5,B5-diversity,B5-diversity-s12-eta0p5-t3-rho0p5,"per-scenario normalized regret clipped to [0,1]","[0,2,1,2]",1,2.484349806173501,11.993319736729598,0.9994433113941331,0.09136187459449666,11.993319736729598,True,12,0.2511384694918517,0.24864864864864877,0.10230241407404043,0.06739699211690964,0.33808137470709426,1.0,0,0.0,0.0,0.5138708951174423,1.0,35.74913333333333,41.2,0.24864864864864877,True,16,0.24828569918984775,0.24864864864864877,0.06223626866373329,0.055015141933679124,0.1588192674881542,1.0,0,0.0,0.0,0.4438790650406504,0.5333333333333333,35.506375,38.17999999999999,0.24864864864864877,True,24,0.25145614356221996,0.24864864864864877,0.08023960448589561,0.06514388490416781,0.3163114558213304,1.0,0,0.0,0.0,0.47244708994709,0.6190476190476192,36.16916666666667,43.160000000000004,0.24864864864864877,True,False,False,False
12,5,0.5,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.1,B5-diversity,B5-diversity-s12-eta0p5-t5-rho0p1,"per-scenario normalized regret clipped to [0,1]","[0,2,1,2]",1,2.4745504610129965,11.876367022899203,0.9896972519082669,0.12013746944445776,11.876367022899203,True,12,0.2511384694918517,0.24864864864864877,0.10230241407404043,0.06739699211690964,0.33808137470709426,1.0,0,0.0,0.0,0.5138708951174423,1.0,35.74913333333333,41.2,0.24864864864864877,True,16,0.24828569918984775,0.24864864864864877,0.06223626866373329,0.055015141933679124,0.1588192674881542,1.0,0,0.0,0.0,0.4438790650406504,0.5333333333333333,35.506375,38.17999999999999,0.24864864864864877,True,24,0.25145614356221996,0.24864864864864877,0.08023960448589561,0.06514388490416781,0.3163114558213304,1.0,0,0.0,0.0,0.47244708994709,0.6190476190476192,36.16916666666667,43.160000000000004,0.24864864864864877,True,False,False,False
12,5,0.5,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.25,B5-diversity,B5-diversity-s12-eta0p5-t5-rho0p25,"per-scenario normalized regret clipped to [0,1]","[0,2,1,2]",1,2.480373403341516,11.94572415847386,0.995477013206155,0.10722281806163649,11.94572415847386,True,12,0.2511384694918517,0.24864864864864877,0.10230241407404043,0.06739699211690964,0.33808137470709426,1.0,0,0.0,0.0,0.5138708951174423,1.0,35.74913333333333,41.2,0.24864864864864877,True,16,0.24828569918984775,0.24864864864864877,0.06223626866373329,0.055015141933679124,0.1588192674881542,1.0,0,0.0,0.0,0.4438790650406504,0.5333333333333333,35.506375,38.17999999999999,0.24864864864864877,True,24,0.25145614356221996,0.24864864864864877,0.08023960448589561,0.06514388490416781,0.3163114558213304,1.0,0,0.0,0.0,0.47244708994709,0.6190476190476192,36.16916666666667,43.160000000000004,0.24864864864864877,True,False,False,False
12,5,0.5,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.5,B5-diversity,B5-diversity-s12-eta0p5-t5-rho0p5,"per-scenario normalized regret clipped to [0,1]","[0,2,1,2]",1,2.483986654414203,11.988965132306365,0.9990804276921971,0.09381173836840583,11.988965132306365,True,12,0.2511384694918517,0.24864864864864877,0.10230241407404043,0.06739699211690964,0.33808137470709426,1.0,0,0.0,0.0,0.5138708951174423,1.0,35.74913333333333,41.2,0.24864864864864877,True,16,0.24828569918984775,0.24864864864864877,0.06223626866373329,0.055015141933679124,0.1588192674881542,1.0,0,0.0,0.0,0.4438790650406504,0.5333333333333333,35.506375,38.17999999999999,0.24864864864864877,True,24,0.25145614356221996,0.24864864864864877,0.08023960448589561,0.06514388490416781,0.3163114558213304,1.0,0,0.0,0.0,0.47244708994709,0.6190476190476192,36.16916666666667,43.160000000000004,0.24864864864864877,True,False,False,False
12,3,1.0,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.1,B5-diversity,B5-diversity-s12-eta1-t3-rho0p1,"per-scenario normalized regret clipped to [0,1]","[0,2,1,2]",1,2.472237709586674,11.848931675925279,0.9874109729937732,0.12428814906310694,11.848931675925279,True,12,0.2511384694918517,0.24864864864864877,0.10230241407404043,0.06739699211690964,0.33808137470709426,1.0,0,0.0,0.0,0.5138708951174423,1.0,35.74913333333333,41.2,0.24864864864864877,True,16,0.24828569918984775,0.24864864864864877,0.06223626866373329,0.055015141933679124,0.1588192674881542,1.0,0,0.0,0.0,0.4438790650406504,0.5333333333333333,35.506375,38.17999999999999,0.24864864864864877,True,24,0.25145614356221996,0.24864864864864877,0.08023960448589561,0.06514388490416781,0.3163114558213304,1.0,0,0.0,0.0,0.47244708994709,0.6190476190476192,36.16916666666667,43.160000000000004,0.24864864864864877,True,False,False,False
12,3,1.0,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.25,B5-diversity,B5-diversity-s12-eta1-t3-rho0p25,"per-scenario normalized regret clipped to [0,1]","[0,2,1,2]",1,2.477385963212788,11.91009027630299,0.9925075230252491,0.1145127721025462,11.91009027630299,True,12,0.2511384694918517,0.24864864864864877,0.10230241407404043,0.06739699211690964,0.33808137470709426,1.0,0,0.0,0.0,0.5138708951174423,1.0,35.74913333333333,41.2,0.24864864864864877,True,16,0.24828569918984775,0.24864864864864877,0.06223626866373329,0.055015141933679124,0.1588192674881542,1.0,0,0.0,0.0,0.4438790650406504,0.5333333333333333,35.506375,38.17999999999999,0.24864864864864877,True,24,0.25145614356221996,0.24864864864864877,0.08023960448589561,0.06514388490416781,0.3163114558213304,1.0,0,0.0,0.0,0.47244708994709,0.6190476190476192,36.16916666666667,43.160000000000004,0.24864864864864877,True,False,False,False
12,3,1.0,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.5,B5-diversity,B5-diversity-s12-eta1-t3-rho0p5,"per-scenario normalized regret clipped to [0,1]","[0,2,1,2]",1,2.4824423760813112,11.97046512147825,0.9975387601231875,0.10083153125484126,11.97046512147825,True,12,0.2511384694918517,0.24864864864864877,0.10230241407404043,0.06739699211690964,0.33808137470709426,1.0,0,0.0,0.0,0.5138708951174423,1.0,35.74913333333333,41.2,0.24864864864864877,True,16,0.24828569918984775,0.24864864864864877,0.06223626866373329,0.055015141933679124,0.1588192674881542,1.0,0,0.0,0.0,0.4438790650406504,0.5333333333333333,35.506375,38.17999999999999,0.24864864864864877,True,24,0.25145614356221996,0.24864864864864877,0.08023960448589561,0.06514388490416781,0.3163114558213304,1.0,0,0.0,0.0,0.47244708994709,0.6190476190476192,36.16916666666667,43.160000000000004,0.24864864864864877,True,False,False,False
