routes,canonical_bitstring,provider_bitstrings,counts,probability,one_hot,joint_feasible,assignment,current_objective,base_energy,transformed_energy,scenario_costs,scenario_regrets
"[1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0]",101001100010,"[""010001100101""]",5,0.001220703125,False,False,,,1.650571832238421,0.07195637893783141,{},{}
"[1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0]",101100000100,"[""001000001101""]",5,0.001220703125,False,False,,,2.5204320129633953,0.11613845996537361,{},{}
"[1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",110000100100,"[""001001000011""]",5,0.001220703125,False,False,,,2.3346867333821466,0.10670405524747686,{},{}
"[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",110100100001,"[""100001001011""]",5,0.001220703125,False,False,,,1.71494598797186,0.07522608161846679,{},{}
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",000000000000,"[""000000000000""]",4,0.0009765625,False,False,,,3.11528633541894,0.14635239831625924,{},{}
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",000000000001,"[""100000000000""]",4,0.0009765625,False,False,,,2.405908215554487,0.11032154845611805,{},{}
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",000000010001,"[""100010000000""]",4,0.0009765625,False,False,,,1.6452706169370304,0.07168711874041062,{},{}
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",000000100001,"[""100001000000""]",4,0.0009765625,False,False,,,1.6292474766486227,0.07087326876977731,{},{}
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]",000000100110,"[""011001000000""]",4,0.0009765625,False,False,,,2.8561284734446075,0.1331892096677898,{},{}
"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]",000000101001,"[""100101000000""]",4,0.0009765625,False,False,,,2.9528394129254485,0.13810136757439848,{},{}
"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",000000110000,"[""000011000000""]",4,0.0009765625,False,False,,,3.560153076889476,0.1689481428435332,{},{}
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",000001000110,"[""011000100000""]",4,0.0009765625,False,False,,,2.947448318641759,0.13782754222896126,{},{}
"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",000001010000,"[""000010100000""]",4,0.0009765625,False,False,,,1.7208540846723968,0.07552616663549115,{},{}
"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0]",000001010010,"[""010010100000""]",4,0.0009765625,False,False,,,1.0275928543003703,0.040313928470936344,{},{}
"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0]",000001010110,"[""011010100000""]",4,0.0009765625,False,False,,,2.2541870882697324,0.10261530406440646,{},{}
"[0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0]",000001011000,"[""000110100000""]",4,0.0009765625,False,False,,,3.1288055964746997,0.14703907084206705,{},{}
"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]",000001100010,"[""010001100000""]",4,0.0009765625,False,False,,,0.9263584247603895,0.035172012715021767,{},{}
"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1]",000001110001,"[""100011100000""]",4,0.0009765625,False,False,,,2.23481522590208,0.10163136525246005,{},{}
"[0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]",000001110100,"[""001011100000""]",4,0.0009765625,False,False,,,2.24342371519689,0.10206860905321782,{},{}
